GraphBuildTime	0.0524h wall, 0.0490h user + 0.0015h system = 0.0504h CPU (96.27%)
GraphMergeTime	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (91.28%)
disjointSubgraphs	2198
nodes	3178
directedEdges	3979
selfEdges	2003
totalGraphEvidence	75976
totalCleaned	37834
highestSearchCount	140
isMaxSearchCount	0
highestSearchDensity	0.13346
isMaxSearchDensity	0

[Sample0]
Source	/home/robin/Documents/Project/Samples/bam/all/17296.bam
MinMapqFiltered	281215	0.0507
NotFiltered	5263939	0.9493
NotFilteredAndIgnored	5140186	0.9270
NotFilteredAndAnomalousPair	119865	0.0216
NotFilteredAndAnomalousPairRemotes	1908	0.0003
NotFilteredAndSplitRead	1202	0.0002
NotFilteredAndSplitReadInAnomalousPair	199	0.0000
NotFilteredAndSplitReadSupplementarySegments	663	N/A
NotFilteredAndLargeIndel	1519	0.0003
NotFilteredAndSemiAligned	1544	0.0003
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	3103	0.4141
EvidenceType_cigar	1520	0.2029
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1550	0.2069
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1320	0.1762
EvidenceType_unknown	0	0.0000
ClosePairs	732

[Sample1]
Source	/home/robin/Documents/Project/Samples/bam/all/17297.bam
MinMapqFiltered	290650	0.0542
NotFiltered	5071319	0.9458
NotFilteredAndIgnored	4900809	0.9140
NotFilteredAndAnomalousPair	167930	0.0313
NotFilteredAndAnomalousPairRemotes	1681	0.0003
NotFilteredAndSplitRead	799	0.0001
NotFilteredAndSplitReadInAnomalousPair	98	0.0000
NotFilteredAndSplitReadSupplementarySegments	329	N/A
NotFilteredAndLargeIndel	965	0.0002
NotFilteredAndSemiAligned	997	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2931	0.5279
EvidenceType_cigar	965	0.1738
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1000	0.1801
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	656	0.1182
EvidenceType_unknown	0	0.0000
ClosePairs	1124

[Sample2]
Source	/home/robin/Documents/Project/Samples/bam/all/17298.bam
MinMapqFiltered	208853	0.0548
NotFiltered	3599523	0.9452
NotFilteredAndIgnored	3434401	0.9018
NotFilteredAndAnomalousPair	162143	0.0426
NotFilteredAndAnomalousPairRemotes	1298	0.0003
NotFilteredAndSplitRead	1068	0.0003
NotFilteredAndSplitReadInAnomalousPair	207	0.0001
NotFilteredAndSplitReadSupplementarySegments	672	N/A
NotFilteredAndLargeIndel	1385	0.0004
NotFilteredAndSemiAligned	875	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	3047	0.4580
EvidenceType_cigar	1386	0.2083
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	876	0.1317
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1344	0.2020
EvidenceType_unknown	0	0.0000
ClosePairs	1340

[Sample3]
Source	/home/robin/Documents/Project/Samples/bam/all/17299.bam
MinMapqFiltered	337242	0.0577
NotFiltered	5511012	0.9423
NotFilteredAndIgnored	5354068	0.9155
NotFilteredAndAnomalousPair	153322	0.0262
NotFilteredAndAnomalousPairRemotes	1621	0.0003
NotFilteredAndSplitRead	990	0.0002
NotFilteredAndSplitReadInAnomalousPair	127	0.0000
NotFilteredAndSplitReadSupplementarySegments	480	N/A
NotFilteredAndLargeIndel	1810	0.0003
NotFilteredAndSemiAligned	1077	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2207	0.3645
EvidenceType_cigar	1811	0.2991
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1079	0.1782
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	958	0.1582
EvidenceType_unknown	0	0.0000
ClosePairs	413

[Sample4]
Source	/home/robin/Documents/Project/Samples/bam/all/17300.bam
MinMapqFiltered	333322	0.0585
